name,brand,sku,category,revenue,momentum,claims,ingredients
B-2 100 mg,Vitamin World,DSLD-542,Immunity,572591,4.3,Promotes Energy Metabolism Supports Healthy Vision & Skin Health Vitamin World products are subject to critically stringent quality assurance analysis. Our state-of the-art laboratory manufacturing and packaging facilities insure the highest quality nutritional supplements money can buy. Your health & safety are our first priority! get healthy. Get healthy.,Riboflavin
B-6 100 mg,Vitamin World,DSLD-543,Immunity,2366289,5.4,Get healthy. Promotes Energy Metabolism Supports Heart Health Vitamin World products are subject to critically stringent quality assurance analysis. Our state-of the-art laboratory manufacturing and packaging facilities insure the highest quality nutritional supplements money can buy. Your health & safety are our first priority!,Vitamin B6
C-1000 mg With Protective Bioflavonoids And Wild Rose Hips,Vitamin World,DSLD-544,Immunity,4740509,5.5,For over 40 years Vitamin World has pioneered the manufacture of premium nutritional supplements. Our commitment to quality is the highest in our industry. Every product undergoes rigorous analysis for purity potency safety and freshness. We guarantee it. Get healthy.,Vitamin C; Citrus Bioflavonoids; Rose Hips
Niacin 250 mg,Vitamin World,DSLD-545,Immunity,1140941,5.1,PROD. # 723 B720 06C Promotes Energy Metabolism Supports Heart Health Vitamin World products are subject to critically stringent quality assurance analysis. Our state-of the-art laboratory manufacturing and packaging facilities insure the highest quality nutritional supplements money can buy. Your health & safety are our first priority! Get healthy.,Niacin
Niacinamide 500 mg,Vitamin World,DSLD-546,Immunity,4054288,6.6,Promotes Energy Metabolism Supports Heart Health Vitamin World products are subject to critically stringent quality assurance analysis. Our state-of the-art laboratory manufacturing and packaging facilities insure the highest quality nutritional supplements money can buy. Your health & safety are our first priority! Get healthy.,Niacinamide
Brewer's Yeast,Vitamin World,DSLD-547,Immunity,314793,4.0,Vitamin World products are subject to critically stringent quality assurance analysis. Our state-of the-art laboratory manufacturing and packaging facilities insure the highest quality nutritional supplements money can buy. Your health & safety are our first priority! Get healthy.,Thiamine; Riboflavin; Niacin; Brewer's Yeast
Mega B-100,Vitamin World,DSLD-548,Beauty From Within,2877170,3.4,Promotes Energy Metabolism Supports Heart Health Vegetarian Vitamin Supplement Vitamin World products are subject to critically stringent quality assurance analysis. Our state-of the-art laboratory manufacturing and packaging facilities insure the highest quality nutritional supplements money can buy. Your health & safety are our first priority! Get healthy.,Thiamine; Riboflavin; Niacin; Vitamin B6; Folic Acid; Vitamin B12; Biotin; Pantothenic Acid; Inositol; PABA; Choline Bitartrate; Proprietary Blend
Gelatin 650 mg,Vitamin World,DSLD-549,Immunity,2632922,4.5,Get healthy. An active lifestyle harsh detergents on-the-run nutrition; all can have an effect on the health of your nails. From the moment raw ingredients reach our facilities to the time a finished supplement is packaged stringent analysis confirms the potency purity and nutritional content of every nutritional product that bears the Vitamin World name. We guarantee it! Gelatin is one of the raw materials for collagen the building block for strong healthy nails. As a supplement Gelatin supports the beauty of your nails. Nail Beauty & Strength,Protein; Gelatin
E-Oil,Vitamin World,DSLD-550,Immunity,4018855,5.8,PURE ENOUGH TO SWALLOW Supports Heart Health Vitamin E is a potent antioxidant that helps fight free radicals. Vitamin E also supports immune function and cardiovascular health. Get healthy.,Vitamin E
Creatine Caps 700 mg,Precision Engineered,DSLD-551,Energy & Performance,3409071,6.6,Benefits may vary. Use in conjunction with an intense daily exercise program and a balanced diet including an adequate caloric intake. CREATINE DIETARY SUPPLEMENT HARDCORE SERIES Laboratory tested to meet strict quality control standards for potency purity and disintegration. MUSCLE STRENGTH POWER & RECOVERY Precision Engineered has pioneered the manufacture of premium sports nutrition supplements. Our commitment to quality is the highest in our industry. Every product undergoes rigorous analysis for purity potency safety and freshness. We guarantee it! Precision Engineered(R) Hardcore Creatine Caps 700mg   ; Enhances the ability of muscles to produce higher muscular force especially during short bouts of maximal exercise.Helps promote athletic performanceExcellent supplemental choice for athletes and hardcore body-builders.Each capsule contains HPLC Pure Creatine Monohydrate 700 mg.,HPLC Pure Creatine Monohydrate
